model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_auc,weighted_auc,avg_selected_mbps,avg_oracle_mbps,oracle_gap_mbps
RandomForest,0.8005333333333333,0.6999921998670384,0.8070159062022966,0.686717446878677,0.7297276516600317,0.9301447069694002,0.9414126978497303,0.3625690908,0.39708255373333334,0.03451346293333335
LightGBM,0.8406666666666667,0.6952961005519659,0.8334526809776769,0.7327778172312104,0.6827550004021355,0.950397134937644,0.9594822219537855,0.3748350089333334,0.39708255373333334,0.022247544799999963
TinyMLP,0.8302666666666667,0.6865735171755238,0.8240812344374218,0.7202124370221844,0.6755024457489895,0.9412777815486836,0.9513905325520913,0.3748264641333333,0.39708255373333334,0.02225608960000003
LinearSVM,0.7770666666666667,0.6430972836111317,0.7806678932785883,0.6390516280702158,0.6501571191899739,0.9030910844279308,0.9195630822171071,0.36595145026666664,0.39708255373333334,0.0311311034666667
XGBoost,0.8328,0.6378985886928645,0.8154574132100393,0.7159950178692643,0.6361297991978395,0.9452133117909226,0.9555877326401133,0.3757970073333333,0.39708255373333334,0.02128554640000002
CatBoost,0.8262666666666667,0.5701568683437032,0.794654777100737,0.7346164749134894,0.597702036771575,0.9384634789303495,0.9503040329825633,0.3759539685333333,0.39708255373333334,0.02112858520000005
ContextualBandit-Ridge,0.4805333333333333,0.36482497661519364,0.4730830302095195,0.4669352055142744,0.4202068214579582,0.7075122594528418,0.7850954897669378,0.37256464199999995,0.39708255373333334,0.024517911733333397
Static-TCP_CUBIC,0.5966666666666667,0.24913013221990257,0.4459429366736256,0.1988888888888889,0.3333333333333333,0.5,0.5,0.27337161320000003,0.39708255373333334,0.12371094053333331
Static-TCP_BBR,0.31733333333333336,0.16059379217273953,0.15288529014844804,0.10577777777777779,0.3333333333333333,0.5,0.5,0.3689969485333333,0.39708255373333334,0.02808560520000003
Static-QUIC_BBR,0.086,0.05279312461632904,0.013620626151012893,0.028666666666666663,0.3333333333333333,0.5,0.5,0.30929773346666667,0.39708255373333334,0.08778482026666667
